S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
30,189,0,0,36,9,36,0,0,18,84,0,9,9,33,0,0,0,30.2,47.78033068114954,44.0,66.30987860040162,21.0,25.729360660537214,0.0,0.0
48,18,9,0,45,33,9,63,21,9,21,0,9,33,66,0,0,0,25.6,20.86719914123599,25.5,17.89553016817328,25.666666666666668,22.63232692902394,0.0,0.0
18,39,18,18,27,33,9,60,9,9,0,0,9,42,75,9,0,0,24.4,21.12439348241743,25.5,8.261355820929152,23.666666666666668,26.398653164297773,3.0,4.242640687119285
18,63,18,18,39,0,45,18,9,18,9,0,0,9,42,9,0,0,20.4,18.073184556131775,26.0,20.024984394500787,16.666666666666668,15.563490039905004,3.0,4.242640687119285
27,123,0,39,39,9,45,18,4,18,18,0,18,78,0,0,0,0,29.066666666666666,32.38202519231241,39.5,40.04060439104285,22.11111111111111,23.61941030614178,0.0,0.0
51,90,0,18,0,9,45,9,0,24,18,0,9,21,9,0,0,0,20.2,23.936582880603492,28.0,32.66496594212215,15.0,13.2664991614216,0.0,0.0
531,57,9,38814,1530,30,31,9,0,0,18,0,0,21,0,0,0,9,2736.6666666666665,9649.923410173897,6828.5,14314.230759981481,8.777777777777779,11.123326618495405,3.0,4.242640687119285
1152,66,9,302,87,21,18,13,0,0,9,0,0,0,0,0,0,18,111.8,287.9630068834074,272.8333333333333,404.99523316810644,4.444444444444445,6.635110500814941,6.0,8.48528137423857
612,147,18,49527,282,0,9,9,9,18,0,0,27,0,0,18,0,9,3377.2,12335.095806681034,8431.0,18379.831174415067,8.0,8.94427190999916,9.0,7.3484692283495345
2565,147,4299,51468,384,30,0,9,9,0,0,0,27,21,9,18,0,0,3931.2,12760.28219750645,9815.5,18691.00217350584,8.333333333333334,9.3571125650788,6.0,8.48528137423857
1455,0,39,25815,45,12237,9,30,4,0,0,0,0,21,9,0,0,0,2644.266666666667,6896.36759912218,6598.5,9635.332129719245,8.11111111111111,10.148283318915945,0.0,0.0
5883,135,1656,60543,18,4350,9,60,9,9,0,0,0,0,0,0,0,0,4844.8,14988.151899417086,12097.5,21770.204736060707,9.666666666666666,18.263503375736967,0.0,0.0
3138,135,3876,54888,348,38142,18,60,9,174,15,0,9,30,9,9,0,42,6723.4,15946.762287060028,16754.5,21634.212240107103,36.0,51.536394906900505,17.0,18.05547008526779
1308,33,597,16095,2139,29298,117,45,171,852,216,0,9,39,0,9,0,51,3394.6,7966.743339658935,8245.0,10925.393677117543,161.0,255.13133872576296,20.0,22.22611077089287
207,9,2895,11985,162,13254,279,39,1005,1245,591,0,27,9,9,0,0,18,2114.4,4192.757355249645,4752.0,5660.829091219766,356.0,453.25489517488944,6.0,8.48528137423857
360,18,2784,3651,132,8922,555,48,1005,771,624,0,36,9,27,0,0,9,1262.8,2298.060173276583,2644.5,3132.3475621329126,341.6666666666667,373.519596392062,3.0,4.242640687119285
