S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
18,0,0,9,9,18,18,117,9,0,4,15,27,9,27,36,0,0,18.666666666666668,27.63733384793516,9.0,7.3484692283495345,25.11111111111111,33.66318280470832,12.0,16.97056274847714
18,42,0,9,9,36,0,177,19,9,18,9,27,18,9,18,9,0,26.666666666666668,41.7846330073097,19.0,15.165750888103101,31.77777777777778,51.877586206542844,9.0,7.3484692283495345
0,51,0,0,0,30,0,240,0,9,18,52,22,96,33,27,0,0,36.733333333333334,60.420158519781744,13.5,20.03122562401013,52.22222222222222,72.22923042920408,9.0,12.727922061357855
96,30,0,0,18,21,0,144,0,0,18,96,18,120,33,0,0,30,39.6,47.22118168788241,27.5,32.515380975778214,47.666666666666664,53.374983736661584,10.0,14.142135623730951
126,30,0,0,39,9,0,81,10,114,27,52,114,0,0,0,0,30,40.13333333333333,44.94717887575247,34.0,43.669211121796096,44.22222222222222,45.32053196161703,10.0,14.142135623730951
30,30,69,0,1224,9,0,111,30,114,27,9,114,42,0,0,0,0,120.6,297.5947580183496,227.0,446.4011648730321,49.666666666666664,46.64999702274613,0.0,0.0
30,21,27,87,13620,0,4,111,30,66,13,15,0,120,0,0,0,0,942.9333333333333,3388.309085992926,2297.5,5063.64495694554,39.888888888888886,44.80437588858293,0.0,0.0
48,21,0,513,3975,0,0,120,25,18,0,21,0,132,9,0,0,0,325.46666666666664,983.5617497420056,759.5,1449.4537764275203,36.111111111111114,48.94315170445639,0.0,0.0
36,21,18,17216,4989,9,0,147,0,9,0,10,0,27,9,9,0,0,1499.4,4378.603381597075,3714.8333333333335,6304.535389084767,22.444444444444443,44.8035492421232,3.0,4.242640687119285
69,42,18,33678,2697,11394,0,150,0,9,0,0,9,42,0,9,0,21,3207.2,8629.577148389137,7983.0,12171.97494246517,23.333333333333332,46.57848812011352,10.0,8.602325267042627
390,9,9,16824,5253,1122,72,333,4,96,9,208,18,0,0,18,0,21,1623.1333333333334,4263.822054865277,3934.5,6043.872785722744,82.22222222222223,109.6101959752303,13.0,9.273618495495704
7086,9,39,14823,2214,12822,72,342,27,96,9,417,87,21,9,18,0,0,2538.2,4781.332257854498,6165.5,5932.389421641165,120.0,143.19916200872126,6.0,8.48528137423857
6441,21,270,5688,6798,13938,238,342,27,135,87,697,36,21,0,0,0,0,2315.9333333333334,3954.9823677089744,5526.0,4675.71310069384,175.88888888888889,213.24083642911285,0.0,0.0
930,30,579,6603,795,14838,666,378,112,297,195,978,36,9,0,9,0,0,1763.0666666666666,3835.413380009456,3962.5,5344.630974164634,296.77777777777777,314.5341450384389,3.0,4.242640687119285
1254,30,588,2667,744,7182,1014,591,432,393,57,756,45,60,0,9,0,0,1054.2,1766.2692207022124,2077.5,2424.5505253551637,372.0,342.13447648548953,3.0,4.242640687119285
1512,21,501,2349,654,4206,813,588,432,438,300,534,225,153,0,9,0,0,848.4,1071.1729272157695,1540.5,1410.3603262996305,387.0,232.4865587512534,3.0,4.242640687119285
1341,9,681,1251,363,1518,672,498,396,345,480,373,225,180,0,9,0,0,555.4666666666667,451.88875720567444,860.5,550.825970702181,352.1111111111111,186.23249772764296,3.0,4.242640687119285
930,237,516,855,777,1518,672,573,534,345,480,213,408,153,9,9,0,0,548.0,362.55206522649956,805.5,394.4239470417586,376.3333333333333,204.17204074559822,3.0,4.242640687119285
735,312,483,396,462,2898,684,573,534,339,430,268,576,366,9,9,0,0,604.3333333333334,636.6599999650956,881.0,911.2771257965384,419.8888888888889,192.07605232444573,3.0,4.242640687119285
789,456,303,102,423,1590,483,568,627,306,210,324,576,525,0,0,0,0,485.46666666666664,356.2476417075939,610.5,483.6385530538276,402.1111111111111,195.48085694537653,0.0,0.0
525,681,297,288,330,870,339,549,579,480,216,300,487,600,0,0,0,0,436.06666666666666,206.52924463351164,498.5,218.06936969689255,394.44444444444446,187.23432206202122,0.0,0.0
378,597,462,441,159,1014,375,276,579,507,318,276,408,705,0,18,0,0,433.0,230.68593368473944,508.5,261.1709210459694,382.6666666666667,192.05786165169656,6.0,8.48528137423857
390,513,324,390,360,573,477,234,579,645,294,211,393,681,0,18,33,0,404.26666666666665,175.40789289222104,425.0,88.05679985100527,390.44444444444446,213.61861711996664,17.0,13.490737563232042
