S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
0,9,0,0,72,135,9,21,15,0,39,18,27,0,9,78,9,96,23.6,35.15451606835173,36.0,51.176166327695945,15.333333333333334,11.953614051360738,61.0,37.49666651850535
0,9,51,0,72,33,9,21,21,0,39,18,18,0,27,27,9,135,21.2,20.123617964968425,27.5,27.13392710243027,17.0,11.832159566199232,57.0,55.641710972974224
0,39,9,0,9,0,27,21,21,0,19,9,66,0,27,9,0,57,16.466666666666665,17.802122220554367,9.5,13.793114224133722,21.11111111111111,18.639530540371236,22.0,25.019992006393608
9,18,18,0,18,0,36,10,10,0,0,0,66,0,9,0,0,9,12.933333333333334,17.276059221426113,10.5,8.077747210701755,14.555555555555555,21.150839810545538,3.0,4.242640687119285
18,18,9,0,18,0,0,0,0,0,0,10,37,9,0,18,9,30,7.933333333333334,10.51644215291253,10.5,8.077747210701755,6.222222222222222,11.554487130093927,19.0,8.602325267042627
9,0,0,39,9,0,0,42,0,0,9,21,0,33,9,18,30,30,11.4,14.582180906846549,9.5,13.793114224133722,12.666666666666666,14.951774328003868,26.0,5.656854249492381
30,0,18,30,9,0,0,42,0,0,9,10,0,42,9,0,30,0,13.266666666666667,14.955340926311985,14.5,12.539936203984453,12.444444444444445,16.317074295971288,10.0,14.142135623730951
30,0,18,0,9,21,0,0,0,3,9,0,0,0,9,9,0,9,6.6,9.178235124467012,13.0,11.045361017187261,2.3333333333333335,3.681787005729087,6.0,4.242640687119285
9,0,378,0,18,0,4,0,0,6,9,4,27,18,18,0,0,30,32.733333333333334,92.64373817059749,67.5,139.01528692917194,9.555555555555555,8.845728549997842,10.0,14.142135623730951
21,0,1200,0,9,4812,0,0,0,0,0,9,27,36,18,9,0,75,408.8,1213.5769279283452,1007.0,1756.4913891049964,10.0,13.038404810405298,28.0,33.436506994600975
132,0,156,0,48,48717,0,72,18,132,9,315,18,9,0,9,0,9,3308.4,12136.254605107788,8175.5,18130.808731272857,63.666666666666664,97.84454790919908,6.0,4.242640687119285
261,0,27,0,9,24462,0,186,18,573,30,621,36,144,0,0,0,9,1757.8,6071.146428805684,4126.5,9094.7820342216,178.66666666666666,232.02633950097612,3.0,4.242640687119285
237,0,9,18,9,23586,36,198,231,549,72,927,39,198,0,9,0,0,1740.6,5843.5789581385825,3976.5,8770.03171316957,250.0,286.35642126552705,3.0,4.242640687119285
408,0,348,57,99,36606,36,195,537,611,72,1233,84,186,129,9,0,0,2706.733333333333,9065.276428708,6253.0,13575.09852634595,342.55555555555554,369.4858623400032,3.0,4.242640687119285
432,33,303,159,363,36858,138,195,537,673,270,1297,171,369,333,39,0,0,2808.733333333333,9104.737810368597,6358.0,13640.648518307331,442.55555555555554,344.3299809811355,13.0,18.384776310850235
342,33,126,222,228,20514,90,216,505,1029,633,1362,171,528,366,96,9,0,1757.6666666666667,5025.168967861235,3577.5,7574.830641671139,544.4444444444445,394.2021791222004,35.0,43.289721643826724
492,216,123,675,195,5670,267,324,936,999,549,1054,288,264,234,57,78,0,819.0666666666667,1330.4991778359813,1228.5,1995.4584059809415,546.1111111111111,330.9815182636317,45.0,32.95451410656816
354,411,252,321,204,3666,285,276,936,1002,630,747,534,189,243,45,69,0,670.0,839.8726093878762,868.0,1253.0901803142501,538.0,291.99315060459895,38.0,28.600699292150182
408,327,321,132,165,1062,375,231,865,852,447,877,387,444,348,153,69,0,482.73333333333335,277.91088899541563,402.5,310.0778128147836,536.2222222222222,239.7344724564046,74.0,62.56196927846821
348,291,591,369,153,774,375,210,786,686,447,1008,222,654,516,342,207,18,495.3333333333333,240.22646722531547,421.0,204.232710406536,544.8888888888889,249.4685214809206,189.0,132.8834075421006
330,573,438,378,123,738,241,210,786,520,441,1072,153,366,444,426,318,96,454.2,248.43622924203302,430.0,192.49675321937252,470.3333333333333,278.4125635734773,280.0,137.37539808859518
333,450,486,447,216,450,90,190,582,387,582,1137,153,273,231,336,153,87,400.46666666666664,246.09371295414184,397.0,93.89355675444402,402.77777777777777,308.29559328590176,192.0,105.32805893967665
288,237,306,297,255,474,90,123,390,363,402,784,253,297,618,144,72,21,345.1333333333333,171.54275139321848,309.5,77.37086014773263,368.8888888888889,208.9095734439741,79.0,50.457903246171455
417,441,348,153,354,381,249,132,390,504,243,432,258,390,453,255,186,63,343.0,107.61412546687353,349.0,93.58952932887311,339.0,115.85335558368605,168.0,79.41032678436729
429,474,264,198,372,246,288,111,414,168,447,325,45,420,345,375,60,123,303.06666666666666,125.57731571514906,330.5,100.9418149232517,284.77777777777777,136.57865277949452,186.0,136.09555466656508
402,378,195,297,252,327,288,69,366,180,447,219,168,372,378,210,48,168,289.2,102.60877155487243,308.5,70.85372255569922,276.3333333333333,117.41758338889831,142.0,68.64400920692205
210,285,243,192,384,273,238,69,366,192,345,237,213,246,366,417,39,90,257.26666666666665,80.70148009106704,264.5,62.53199181219162,252.44444444444446,90.49629963105441,182.0,167.46940019000485
297,150,276,105,417,252,135,345,468,252,255,255,213,159,261,447,63,78,256.0,96.9061401563389,249.5,101.49014730504632,260.3333333333333,93.4748926480023,196.0,177.5894140989265
333,225,258,318,195,384,201,246,570,294,300,229,228,177,297,201,42,27,283.6666666666667,94.48009784546632,285.5,65.34714989959394,282.44444444444446,109.66728582511247,90.0,78.7273777030583
273,498,267,222,168,348,108,189,570,318,237,204,252,87,240,306,9,90,265.4,125.36442876669602,296.0,105.46563421323555,245.0,133.18408313308313,135.0,125.35549449465708
