S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
51,51,9,39,0,51,0,9,9,9,30,36,0,63,9,0,0,21,24.4,21.546229368499723,33.5,21.10094784600919,18.333333333333332,19.61858529274955,7.0,9.899494936611665
84,42,39,30,0,9,9,30,4,9,0,33,9,27,9,0,0,21,22.266666666666666,21.514233014965285,34.0,27.03701166919155,14.444444444444445,11.451454163953844,7.0,9.899494936611665
21,21,18,9,186,63,9,78,21,15,0,21,57,9,33,9,0,0,37.4,45.138010589745754,53.0,61.91122676865643,27.0,23.874672772626646,3.0,4.242640687119285
30,21,27,9,51,9,4,78,21,30,15,9,18,42,33,9,0,0,26.466666666666665,18.707811796739406,24.5,14.326548781894402,27.77777777777778,21.02790620832642,3.0,4.242640687119285
48,0,54,9,9,0,27,54,10,0,0,4,18,42,0,9,0,0,18.333333333333332,20.313104691854033,20.0,22.293496809607955,17.22222222222222,18.79584929225822,3.0,4.242640687119285
66,0,27,30,9,0,36,18,0,9,57,0,13,9,0,48,0,9,18.266666666666666,20.430260780409917,22.0,22.956480566497994,15.777777777777779,18.133932451976307,19.0,20.83266665599966
48,0,687,25851,18,21,27,18,0,27,66,9,27,9,0,39,0,9,1787.2,6433.480190379077,4437.5,9579.498956104124,20.333333333333332,19.171738459397872,16.0,16.673332000533065
264,0,795,22268,195,9,9,0,0,27,9,18,45,30,0,0,0,0,1577.9333333333334,5533.291286587235,3921.8333333333335,8208.927973384967,15.333333333333334,14.996295838935989,0.0,0.0
1656,0,267,57660,1035,18,9,27,33,18,9,18,66,9,0,0,0,0,4055.0,14333.9281985086,10106.0,21275.07680362165,21.0,18.547236990991408,0.0,0.0
1587,57,591,26144,18,21,18,27,33,9,4,18,9,0,0,9,0,0,1902.4,6491.51424348228,4736.333333333333,9589.781708788903,13.11111111111111,11.03977097633264,3.0,4.242640687119285
780,66,2145,37758,18,915,54,22,33,0,21,45,9,9,0,9,0,0,2791.6666666666665,9362.421230049888,6947.0,13797.05910692565,21.444444444444443,18.191030214006947,3.0,4.242640687119285
1668,27,696,30659,2106,2286,54,9,30,9,99,72,13,9,54,0,0,0,2519.4,7561.808274039572,6240.333333333333,10948.760366158152,38.77777777777778,30.904073006564392,0.0,0.0
3315,111,1320,64464,5400,14790,45,9,30,63,162,339,111,0,54,30,0,0,6014.2,16070.386210667122,14900.0,22672.286099994417,90.33333333333333,99.96443812120833,10.0,14.142135623730951
2733,0,3807,8448,8676,9450,27,60,178,63,159,606,111,168,0,39,0,0,2299.0666666666666,3455.374064973123,5519.0,3539.0806715869026,152.44444444444446,171.23415489460373,13.0,18.384776310850235
1626,9,3834,11670,3105,1578,27,51,558,172,159,556,18,57,0,9,0,0,1561.3333333333333,2941.421009572678,3637.0,3792.4685891909508,177.55555555555554,210.43188980502356,3.0,4.242640687119285
636,18,2466,4161,1146,2190,31,51,558,597,337,507,27,0,0,0,0,0,848.3333333333334,1159.2225363962214,1769.5,1361.526808402978,234.22222222222223,246.96863398585558,0.0,0.0
1050,30,1191,2385,1344,6258,183,100,676,501,447,475,27,18,9,27,0,0,979.6,1548.3926633770907,2043.0,2005.6550052289651,270.6666666666667,240.06712024394807,9.0,12.727922061357855
957,87,813,1656,1920,2682,117,111,426,471,480,444,73,153,30,66,0,0,694.6666666666666,768.3020817939315,1352.5,839.7131950850838,256.1111111111111,181.40344505147416,22.0,31.11269837220809
867,54,627,1089,696,2730,189,30,426,495,528,424,267,438,42,66,0,0,593.4666666666667,641.5870807787686,1010.5,831.0946095361226,315.44444444444446,179.8246745589907,22.0,31.11269837220809
627,297,537,666,840,1926,216,120,468,495,537,405,423,762,30,36,0,0,556.6,425.77440035774816,815.5,522.5095692903624,384.0,213.66328650472454,12.0,16.97056274847714
432,111,567,615,444,1662,216,225,534,598,537,496,222,411,39,18,0,0,473.93333333333334,363.5930814645527,638.5,485.10230879681455,364.22222222222223,182.64463235582662,6.0,8.48528137423857
576,186,714,525,525,1350,226,225,534,564,487,588,285,447,48,36,0,0,485.3333333333333,293.01823985699065,646.0,352.6145204043645,378.22222222222223,177.55611180555337,12.0,16.97056274847714
561,132,816,258,627,1110,180,237,561,438,255,486,285,450,75,54,0,0,431.4,268.8133925235125,584.0,327.47977036757555,329.6666666666667,151.87129053540335,18.0,25.45584412271571
681,93,507,402,417,1434,363,192,768,471,297,384,217,384,84,27,0,0,446.26666666666665,321.61705316865414,589.0,416.2895626844372,351.1111111111111,185.0083748521458,9.0,12.727922061357855
462,111,699,399,378,1074,237,288,768,459,411,334,255,621,18,96,0,0,434.26666666666665,259.76899139213845,520.5,301.2212641896319,376.77777777777777,209.08040865645594,32.0,45.254833995939045
399,207,567,204,543,858,378,213,577,459,435,285,342,678,42,114,0,0,412.46666666666664,204.11789621577907,463.0,227.2861632392082,378.77777777777777,179.34186954763103,38.0,53.74011537017761
375,294,687,186,525,666,378,234,489,393,435,391,357,519,42,9,0,0,398.06666666666666,164.89207244605652,455.5,186.15652016515565,359.77777777777777,136.19004513936298,3.0,4.242640687119285
714,282,528,312,546,642,361,234,489,321,394,498,372,330,51,63,0,0,404.93333333333334,162.58883383827097,504.0,158.97169559390125,338.8888888888889,127.69446559350125,21.0,29.698484809834994
762,444,237,522,672,546,348,255,388,387,216,360,372,414,129,72,0,0,403.46666666666664,164.00644973767206,530.5,167.10849768937544,318.77777777777777,91.01010661554486,24.0,33.94112549695428
702,231,246,381,492,750,339,339,255,456,249,222,513,456,21,93,0,0,376.8,184.81818092384742,467.0,203.25353625460002,316.6666666666667,142.64719493289107,31.0,43.840620433565945
801,252,480,201,222,834,312,225,255,459,381,159,654,297,33,66,0,0,371.0,226.16542618181057,465.0,265.64261706285004,308.3333333333333,168.49200442619096,22.0,31.11269837220809
564,324,420,390,402,489,483,144,309,459,414,96,324,321,63,9,0,0,346.8,141.6635450636472,431.5,76.53267276137689,290.3333333333333,146.87258272242494,3.0,4.242640687119285
600,369,399,243,492,348,483,174,189,336,414,148,294,342,138,126,0,0,331.26666666666665,131.5144943427234,408.5,112.80181736124645,279.77777777777777,117.11606567634593,42.0,59.39696961966999
600,444,291,48,213,264,396,174,189,261,417,201,213,441,72,162,0,0,281.6,146.05149776705477,310.0,174.4448336867561,262.6666666666667,119.86751946303978,54.0,76.36753236814714
423,666,387,201,384,321,282,235,235,159,366,178,213,459,57,45,0,0,304.4,144.5580852114471,397.0,139.9392725434858,242.66666666666666,110.65963833103538,15.0,21.213203435596427
615,537,372,243,471,354,162,405,177,174,240,156,256,510,45,18,0,0,314.46666666666664,161.1036381408633,432.0,123.45039489608772,236.11111111111111,133.22282457467384,6.0,8.48528137423857
312,330,438,90,327,372,210,318,177,288,192,129,255,351,99,57,0,0,259.2,101.5744062251904,311.5,107.4767416700004,224.33333333333334,80.34647195462634,19.0,26.870057685088806
345,114,522,69,216,387,330,264,184,288,192,102,237,321,291,117,0,0,257.46666666666664,114.86506092899712,275.5,158.26638935667927,245.44444444444446,70.21255207678897,39.0,55.154328932550705
321,123,531,90,189,546,330,243,213,321,192,147,264,444,102,39,0,0,270.4,140.8056817035449,300.0,183.5156669061255,250.66666666666666,98.07253551439477,13.0,18.384776310850235
549,255,420,96,120,438,393,243,213,333,183,192,204,375,102,9,0,0,274.4,132.06301526165453,313.0,168.55859515313955,248.66666666666666,92.03743199855637,3.0,4.242640687119285
459,222,318,159,306,252,237,294,232,258,126,225,204,264,69,9,0,21,241.66666666666666,86.80834573293566,286.0,93.74966666607408,212.11111111111111,67.20357868189998,10.0,8.602325267042627
384,459,276,183,231,582,189,573,318,264,153,258,277,285,57,60,0,0,299.26666666666665,142.01524174851406,352.5,138.05162078005458,263.77777777777777,133.26563095960537,20.0,28.284271247461902
474,372,192,75,288,390,282,396,318,261,255,193,390,342,18,60,0,0,283.06666666666666,119.98303583794207,298.5,132.90316023330672,272.77777777777777,109.33005866821377,20.0,28.284271247461902
453,183,183,60,195,180,318,339,235,261,183,129,339,297,72,57,0,0,228.46666666666667,103.6313122993668,209.0,118.41030360572512,241.44444444444446,90.17034633417292,19.0,26.870057685088806
339,228,279,120,267,186,318,234,204,229,183,121,111,297,81,75,0,0,213.13333333333333,76.94228717393028,236.5,70.0446286306095,197.55555555555554,77.39094278202946,25.0,35.35533905932738
318,300,168,120,297,210,258,234,204,405,118,114,153,297,60,75,0,9,217.06666666666666,92.51556025279687,235.5,74.49328828827467,204.77777777777777,100.93647923078242,28.0,33.436506994600975
312,252,267,87,228,291,180,156,177,216,87,172,153,261,39,147,0,9,191.86666666666667,77.0730101195541,239.5,73.26834241335067,160.11111111111111,61.64854588614838,52.0,67.27555276621665
432,366,240,105,204,492,198,186,111,123,120,231,121,270,84,99,0,0,218.86666666666667,120.54148202543756,306.5,134.92683202387877,160.44444444444446,59.559701348238455,33.0,46.66904755831214
423,321,180,162,207,318,198,258,111,162,141,201,246,282,51,27,0,0,217.4,90.51762259361435,268.5,93.12491610734476,183.33333333333334,70.51871304050357,9.0,12.727922061357855
528,312,186,141,189,198,198,297,141,162,132,171,186,177,27,18,0,0,203.0,107.78125996665653,259.0,131.04960892730662,165.66666666666666,66.53987943748888,6.0,8.48528137423857
441,240,324,150,267,87,198,246,111,162,132,94,90,102,27,96,0,0,178.06666666666666,105.3808753469475,251.5,114.67453945841683,129.11111111111111,61.23804998064601,32.0,45.254833995939045
306,258,300,156,297,60,229,246,111,96,144,18,108,210,27,54,0,0,171.06666666666666,96.41401465669928,229.5,91.5819305321743,132.11111111111111,78.15006141242264,18.0,25.45584412271571
246,288,171,225,153,99,219,288,172,126,93,39,108,222,27,27,0,0,165.06666666666666,80.01788688925885,197.0,62.82515419798029,143.77777777777777,83.108734368868,9.0,12.727922061357855
249,276,93,159,246,135,351,477,180,96,72,60,162,291,45,0,0,0,192.8,117.57278596682141,193.0,67.52036729757918,192.66666666666666,141.41978488017708,0.0,0.0
213,213,99,126,222,60,306,387,180,165,138,81,207,309,108,18,0,42,187.6,89.45076858250017,155.5,63.53148825582476,209.0,97.46794344808964,20.0,17.204650534085253
246,102,171,174,504,240,120,315,181,165,168,102,129,426,72,9,0,42,207.66666666666666,118.52182171322808,239.5,127.7311629947837,186.44444444444446,106.81563671538723,17.0,18.05547008526779
237,177,156,231,435,372,120,195,270,147,168,205,144,240,18,0,0,0,207.66666666666666,97.21636807771735,268.0,101.5381701627521,167.44444444444446,69.52555263452281,0.0,0.0
258,210,48,81,123,252,249,195,270,120,193,309,186,102,18,9,0,0,174.26666666666668,84.8563230145848,162.0,82.35897036753191,182.44444444444446,85.50907828491547,3.0,4.242640687119285
273,93,147,9,198,117,228,216,159,96,60,169,186,231,120,9,0,0,153.46666666666667,69.3473062843027,139.5,82.66347440072913,162.77777777777777,56.94593493984306,3.0,4.242640687119285
234,105,315,0,165,51,189,270,78,96,72,30,202,96,90,48,0,0,132.86666666666667,88.7519890230949,145.0,106.99065379742288,124.77777777777777,73.02933623289536,16.0,22.627416997969522
357,189,183,33,123,30,180,228,78,108,69,76,222,75,42,18,0,0,132.86666666666667,88.81281188857582,152.5,111.23511136327414,119.77777777777777,66.8510413411419,6.0,8.48528137423857
423,243,162,9,57,30,258,234,108,108,90,123,213,300,72,18,0,0,162.0,110.520586317663,154.0,145.00344823486094,167.33333333333334,79.18052510280262,6.0,8.48528137423857
186,420,360,36,126,36,258,246,108,118,90,79,126,276,120,18,0,0,172.33333333333334,111.6671641779962,194.0,149.02348808157726,157.88888888888889,73.8624012674084,6.0,8.48528137423857
108,447,144,69,63,132,210,246,108,129,78,36,108,168,39,18,0,9,139.0,100.08596305176866,160.5,131.53041473362728,124.66666666666667,68.17787193967132,9.0,7.3484692283495345
138,102,90,72,54,129,135,217,94,117,72,33,108,198,54,36,0,0,107.53333333333333,49.48651892743675,97.5,29.58462438497403,114.22222222222223,58.190831232301306,12.0,16.97056274847714
345,117,132,36,72,183,90,159,96,51,39,30,90,228,51,9,0,0,114.6,83.03156026475718,147.5,99.64060417319838,92.66666666666667,60.57135369866591,3.0,4.242640687119285
249,39,93,186,108,72,90,90,96,93,99,39,150,180,27,60,0,0,107.4,58.65696889543475,124.5,71.4300356992771,96.0,44.81071300481616,20.0,28.284271247461902
162,81,123,219,99,258,126,144,115,93,132,48,168,228,27,120,0,0,134.86666666666667,62.490390372351555,157.0,63.72597586541927,120.11111111111111,57.06807717190729,40.0,56.568542494923804
153,273,93,213,123,231,126,174,186,81,132,40,159,219,0,60,0,0,146.86666666666667,71.40202300277555,181.0,63.08724118235002,124.11111111111111,67.4478307771511,20.0,28.284271247461902
153,333,102,180,117,87,76,174,186,81,142,33,168,279,9,18,0,21,141.33333333333334,83.00254346839151,162.0,82.55906976220118,127.55555555555556,80.39777651860655,13.0,9.273618495495704
