S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
51,18,18,0,18,0,0,55,19,9,0,0,45,27,9,0,0,9,17.933333333333334,18.350174083340157,17.5,17.00735135169495,18.22222222222222,19.187830505457697,3.0,4.242640687119285
39,87,0,0,18,9,27,30,0,9,9,0,22,18,0,0,0,0,17.866666666666667,22.069184146426636,25.5,30.532769281544052,12.777777777777779,11.202953755126645,0.0,0.0
18,96,51,21,18,39,27,69,0,9,18,0,0,0,0,0,0,0,24.4,27.557938965024217,40.5,27.64507189355817,13.666666666666666,21.638443156156644,0.0,0.0
0,96,165,0,18,30,9,69,9,9,18,0,9,30,0,0,0,0,30.8,44.53043902770328,51.5,60.21004899516359,17.0,20.29778313018444,0.0,0.0
18,78,9,0,27,90,9,39,18,48,18,0,36,21,0,0,0,0,27.4,26.26480534860291,37.0,34.40930106817051,21.0,16.06237840420901,0.0,0.0
39,138,45,0,30,90,9,39,18,69,9,0,54,0,0,0,0,9,36.0,38.15232627245683,57.0,44.8998886412873,22.0,24.331050121192877,3.0,4.242640687119285
9,0,54,33,2856,0,0,64,13,9,9,0,54,42,0,0,0,9,209.53333333333333,707.6423641611316,492.0,1057.3897105608698,21.22222222222222,23.696121472500646,3.0,4.242640687119285
72,57,27,0,16644,0,9,51,9,9,9,0,31,33,0,0,0,0,1130.0666666666666,4146.332619985468,2800.0,6191.28282345428,16.77777777777778,16.470699761008454,0.0,0.0
174,189,9,29433,741,0,27,9,9,9,9,0,18,0,0,0,0,9,2041.8,7322.94938941954,5091.0,10888.885480158197,9.0,8.48528137423857,3.0,4.242640687119285
3057,207,18,50280,801,9,0,18,9,9,9,0,0,21,0,0,0,0,3629.2,12491.445399152171,9062.0,18463.429800554393,7.333333333333333,7.630348761506398,0.0,0.0
2148,177,69,56499,294,9,0,39,36,4,9,0,0,42,0,0,0,0,3955.0666666666666,14052.852391201184,9866.0,20868.0208932232,14.444444444444445,17.63904199408618,0.0,0.0
1083,159,150,26373,177,129,160,39,36,21,9,0,0,39,0,0,0,9,1891.6666666666667,6548.0693711115255,4678.5,9708.017266671914,33.77777777777778,47.36566449274734,3.0,4.242640687119285
993,18,156,6423,798,14166,489,61,37,9,0,0,0,9,0,0,0,9,1543.9333333333334,3724.3918423758196,3759.0,5144.536130692446,67.22222222222223,150.4451009340674,3.0,4.242640687119285
879,18,318,7350,9441,33042,366,42,174,198,33,0,43,18,0,9,0,0,3461.4666666666667,8391.603040076563,8508.0,11557.727934157301,97.11111111111111,117.1830898347107,3.0,4.242640687119285
102,9,528,819,14712,17850,225,30,174,918,96,0,78,18,9,0,0,0,2371.2,5493.188888068568,5670.0,7562.319683800732,172.0,273.65306502942735,0.0,0.0
315,0,951,807,4836,20742,180,9,345,918,111,0,27,9,78,0,0,0,1955.2,5157.15473492894,4608.5,7391.917900653389,186.33333333333334,279.07864283905514,0.0,0.0
387,9,636,780,2160,14850,180,60,798,1456,111,0,72,18,69,9,0,0,1439.0666666666666,3634.1205532502026,3137.0,5280.56550001986,307.1111111111111,467.4368512179407,3.0,4.242640687119285
276,18,798,414,639,5922,223,60,798,1083,202,0,159,30,0,9,0,0,708.1333333333333,1432.2783652473272,1344.5,2062.2408322017095,283.8888888888889,365.8583345882041,3.0,4.242640687119285
666,48,1017,510,288,4926,207,60,1161,1611,363,0,159,39,9,30,0,30,737.6,1213.155818516319,1242.5,1674.6059984366473,401.0,547.8375671674954,20.0,14.142135623730951
1254,36,711,294,390,2550,234,21,903,1689,261,0,205,18,9,39,0,30,571.6666666666666,718.8975510383166,872.5,841.9057251260381,371.1111111111111,536.9012829695242,23.0,16.673332000533065
831,429,525,333,756,1554,306,123,903,1152,261,0,270,69,9,48,0,0,501.4,437.69697280196027,738.0,404.08414965202485,343.6666666666667,385.0223658727142,16.0,22.627416997969522
873,216,636,276,774,2178,315,360,937,1152,366,0,213,156,18,78,0,9,564.6666666666666,546.9535832428766,825.5,651.0908154781482,390.77777777777777,374.68765592980617,29.0,34.84250278036869
819,444,585,249,681,1362,315,342,819,898,366,0,141,327,0,69,0,18,489.8666666666667,360.1395778799597,690.0,349.8399634118435,356.44444444444446,300.11964692291605,29.0,29.223278392404914
789,372,276,231,567,822,322,342,819,693,321,0,375,375,9,18,0,9,420.8666666666667,256.4779046147164,509.5,234.54690362484004,361.77777777777777,253.43891561995227,9.0,7.3484692283495345
