Date_Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
2021-03-22 10:21:29,27.0,156.0,25.2,72.89999999999999,20.099999999999998,51.0,56.7,9.0,27.0,5.199999999999996,41.1,17.1,58.8,38.1,9.9,0.0,0.0,0.0,41.00666666666667,37.42585681316683,58.7,48.19673676372392,29.21111111111111,20.084649557979574,0.0,0.0
2021-03-22 10:21:30,27.0,153.0,27.0,81.0,18.0,51.0,54.0,9.0,27.0,0.0,40.0,18.0,57.0,33.0,9.0,0.0,0.0,0.0,40.266666666666666,36.60686031636997,59.5,46.74665763453041,27.444444444444443,19.120152899848375,0.0,0.0
2021-03-22 10:21:31,27.0,139.8,28.2,81.9,19.8,50.1,52.2,10.0,26.1,1.8,36.0,17.5,57.0,33.0,8.1,1.8,0.0,0.0,39.233333333333334,35.14055093628778,57.8,44.31308535417887,26.855555555555554,18.917660682478374,0.6,0.8485281374238569
2021-03-22 10:21:32,27.0,126.6,29.4,82.8,21.6,49.2,50.4,11.0,25.2,3.6,32.0,17.0,57.0,33.0,7.2,3.6,0.0,0.0,38.2,33.67424155620559,56.1,41.87951307382732,26.266666666666666,18.71516846510837,1.2,1.6970562748477138
2021-03-22 10:21:33,27.0,113.4,30.6,83.7,23.4,48.3,48.6,12.0,24.3,5.4,28.0,16.5,57.0,33.0,6.3,5.4,0.0,0.0,37.166666666666664,32.2079321761234,54.4,39.44594079347578,25.677777777777777,18.51267624773837,1.7999999999999998,2.5455844122715705
2021-03-22 10:21:34,27.0,100.2,31.8,84.6,25.2,47.4,46.8,13.0,23.4,7.2,24.0,16.0,57.0,33.0,5.4,7.2,0.0,0.0,36.13333333333333,30.74162279604121,52.7,37.01236851312423,25.08888888888889,18.31018403036837,2.4,3.3941125496954276
2021-03-22 10:21:35,27.0,87.0,33.0,85.5,27.0,46.5,45.0,14.0,22.5,9.0,20.0,15.5,57.0,33.0,4.5,9.0,0.0,0.0,35.1,29.27531341595902,51.0,34.57879623277269,24.5,18.107691812998368,3.0,4.242640687119285
2021-03-22 10:21:36,27.0,73.80000000000001,34.2,86.4,28.8,45.6,43.2,15.0,21.6,10.8,16.0,15.0,57.0,33.0,3.5999999999999996,10.8,0.0,0.0,34.06666666666666,27.809004035876832,49.3,32.14522395242115,23.91111111111111,17.905199595628364,3.5999999999999996,5.091168824543141
2021-03-22 10:21:37,27.0,60.60000000000001,35.4,87.3,30.6,44.7,41.4,16.0,20.7,12.6,12.0,14.5,57.0,33.0,2.7,12.6,0.0,0.0,33.03333333333333,26.34269465579464,47.6,29.711651672069603,23.322222222222223,17.702707378258363,4.2,5.939696961966998
2021-03-22 10:21:38,27.0,47.400000000000006,36.6,88.2,32.4,43.8,39.6,17.0,19.8,14.4,8.0,14.0,57.0,33.0,1.7999999999999998,14.4,0.0,0.0,32.0,24.87638527571245,45.9,27.27807939171806,22.733333333333334,17.500215160888363,4.8,6.788225099390855
2021-03-22 10:21:39,27.0,34.2,37.8,89.1,34.2,42.9,37.8,18.0,18.9,16.2,4.0,13.5,57.0,33.0,0.9000000000000004,16.2,0.0,0.0,30.96666666666667,23.410075895630264,44.2,24.844507111366514,22.144444444444446,17.29772294351836,5.3999999999999995,7.636753236814712
2021-03-22 10:21:40,27.0,21.0,39.0,90.0,36.0,42.0,36.0,19.0,18.0,18.0,0.0,13.0,57.0,33.0,0.0,18.0,0.0,0.0,29.933333333333334,21.943766515548074,42.5,22.41093483101497,21.555555555555557,17.09523072614836,6.0,8.48528137423857
2021-03-22 10:21:41,28.2,19.8,37.8,81.9,36.0,38.7,39.6,17.1,18.3,17.1,0.9,12.6,54.1,30.6,0.0,18.0,0.0,0.0,28.846666666666668,21.58767408817866,40.4,21.47080253103924,21.144444444444446,17.492369631962436,6.0,8.48528137423857
2021-03-22 10:21:42,29.4,18.6,36.6,73.8,36.0,35.4,43.2,15.2,18.6,16.2,1.8,12.2,51.2,28.2,0.0,18.0,0.0,0.0,27.76,21.231581660809244,38.3,20.530670231063514,20.733333333333334,17.889508537776514,6.0,8.48528137423857
