S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
72.0,87.0,39.0,0.0,78.0,39.0,18.0,9.0,0.0,21.0,0.0,0.0,18.0,66.0,0.0,9.0,0.0,30.0,29.8,30.64245420980507,52.5,29.837057495671385,14.666666666666666,19.972202905260325,13.0,12.569805089976535
72.0,81.9,39.9,0.0,88.2,36.0,18.0,8.1,0.0,36.9,0.0,0.0,19.8,59.4,0.9,9.0,0.0,30.0,30.740000000000002,33.483934823784196,53.0,32.82934538733246,15.899999999999999,23.506709289110024,13.0,12.569805089976535
72.0,76.8,40.8,0.0,98.4,33.0,18.0,7.2,0.0,52.8,0.0,0.0,21.6,52.8,1.8,9.0,0.0,30.0,31.68,36.32541543776332,53.5,35.82163327899353,17.133333333333333,27.041215672959723,13.0,12.569805089976535
72.0,71.7,41.7,0.0,108.6,30.0,18.0,6.3,0.0,68.7,0.0,0.0,23.4,46.2,2.7,9.0,0.0,30.0,32.620000000000005,39.16689605174244,54.0,38.8139211706546,18.366666666666667,30.575722056809425,13.0,12.569805089976535
72.0,66.6,42.6,0.0,118.8,27.0,18.0,5.4,0.0,84.6,0.0,0.0,25.2,39.6,3.6,9.0,0.0,30.0,33.56,42.00837666572157,54.5,41.80620906231567,19.6,34.11022844065913,13.0,12.569805089976535
72.0,61.5,43.5,0.0,129.0,24.0,18.0,4.5,0.0,100.5,0.0,0.0,27.0,33.0,4.5,9.0,0.0,30.0,34.5,44.84985727970069,55.0,44.798496953976745,20.833333333333332,37.644734824508824,13.0,12.569805089976535
72.0,56.400000000000006,44.4,0.0,139.2,21.0,18.0,3.5999999999999996,0.0,116.4,0.0,0.0,28.8,26.400000000000006,5.4,9.0,0.0,30.0,35.44,47.691337893679815,55.5,47.790784845637816,22.066666666666666,41.179241208358526,13.0,12.569805089976535
72.0,51.300000000000004,45.3,0.0,149.39999999999998,18.0,18.0,2.7,0.0,132.3,0.0,0.0,30.6,19.800000000000004,6.3,9.0,0.0,30.0,36.38,50.532818507658945,56.0,50.78307273729889,23.299999999999997,44.71374759220822,13.0,12.569805089976535
72.0,46.2,46.2,0.0,159.6,15.0,18.0,1.7999999999999998,0.0,148.2,0.0,0.0,32.4,13.200000000000003,7.2,9.0,0.0,30.0,37.32,53.37429912163806,56.5,53.77536062895996,24.53333333333333,48.248253976057924,13.0,12.569805089976535
72.0,41.1,47.1,0.0,169.8,12.0,18.0,0.9000000000000004,0.0,164.1,0.0,0.0,34.2,6.600000000000001,8.1,9.0,0.0,30.0,38.260000000000005,56.21577973561719,57.0,56.76764852062103,25.766666666666666,51.78276035990763,13.0,12.569805089976535
72.0,36.0,48.0,0.0,180.0,9.0,18.0,0.0,0.0,180.0,0.0,0.0,36.0,0.0,9.0,9.0,0.0,30.0,39.2,59.05726034959631,57.5,59.7599364122821,27.0,55.31726674375732,13.0,12.569805089976535
69.9,36.0,44.1,9.3,172.2,10.8,16.2,0.9,0.0,180.0,0.0,0.0,35.1,6.6,9.0,8.1,0.0,27.0,39.34,58.09667334200487,57.05,57.17658186179136,27.533333333333335,55.386928786079935,11.7,11.312824580978882
67.8,36.0,40.2,18.6,164.4,12.6,14.4,1.8,0.0,180.0,0.0,0.0,34.2,13.2,9.0,7.2,0.0,24.0,39.480000000000004,57.13608633441343,56.6,54.59322731130063,28.066666666666666,55.456590828402554,10.4,10.055844071981229
65.7,36.0,36.3,27.900000000000002,156.6,14.4,12.6,2.7,0.0,180.0,0.0,0.0,33.3,19.799999999999997,9.0,6.3,0.0,21.0,39.620000000000005,56.175499326821985,56.15,52.0098727608099,28.6,55.526252870725166,9.1,8.798863562983573
63.6,36.0,32.4,37.2,148.8,16.2,10.8,3.6,0.0,180.0,0.0,0.0,32.4,26.4,9.0,5.4,0.0,18.0,39.760000000000005,55.21491231923054,55.7,49.42651821031916,29.133333333333333,55.595914913047785,7.8,7.541883053985921
61.5,36.0,28.5,46.5,141.0,18.0,9.0,4.5,0.0,180.0,0.0,0.0,31.5,33.0,9.0,4.5,0.0,15.0,39.900000000000006,54.25432531163911,55.25,46.84316365982842,29.666666666666668,55.6655769553704,6.5,6.284902544988268
59.4,36.0,24.6,55.800000000000004,133.2,19.8,7.199999999999999,5.4,0.0,180.0,0.0,0.0,30.6,39.599999999999994,9.0,3.5999999999999996,0.0,12.0,40.04,53.293738304047665,54.8,44.25980910933769,30.200000000000003,55.73523899769301,5.199999999999999,5.027922035990613
57.3,36.0,20.7,65.10000000000001,125.4,21.6,5.4,6.3,0.0,180.0,0.0,0.0,29.7,46.199999999999996,9.0,2.7,0.0,9.0,40.18,52.33315129645622,54.35,41.676454558846956,30.733333333333334,55.80490104001563,3.9000000000000004,3.77094152699296
55.2,36.0,16.8,74.4,117.6,23.4,3.5999999999999996,7.2,0.0,180.0,0.0,0.0,28.8,52.8,9.0,1.7999999999999998,0.0,6.0,40.32,51.37256428886478,53.9,39.09310000835622,31.26666666666667,55.87456308233824,2.5999999999999996,2.5139610179953067
53.099999999999994,36.0,12.899999999999999,83.7,109.8,25.2,1.8000000000000007,8.1,0.0,180.0,0.0,0.0,27.9,59.4,9.0,0.9000000000000004,0.0,3.0,40.46,50.41197728127334,53.45,36.50974545786548,31.8,55.94422512466086,1.299999999999999,1.2569805089976533
51.0,36.0,9.0,93.0,102.0,27.0,0.0,9.0,0.0,180.0,0.0,0.0,27.0,66.0,9.0,0.0,0.0,0.0,40.6,49.451390273681895,53.0,33.926390907374746,32.333333333333336,56.01388716698347,0.0,0.0
45.9,57.3,8.1,93.0,92.7,26.1,0.0,8.1,0.0,171.0,0.0,2.1,25.2,67.2,8.1,0.9,0.0,0.0,40.32,51.05496104290723,53.85,39.5116413236428,31.3,53.80366344184776,0.3,0.42426406871192845
40.8,78.6,7.2,93.0,83.4,25.2,0.0,7.2,0.0,162.0,0.0,4.2,23.4,68.4,7.2,1.8,0.0,0.0,40.04,52.658531812132566,54.7,45.09689173991086,30.26666666666667,51.59343971671205,0.6,0.8485281374238569
35.7,99.9,6.3,93.0,74.1,24.3,0.0,6.3,0.0,153.0,0.0,6.300000000000001,21.6,69.6,6.3,2.7,0.0,0.0,39.76,54.262102581357894,55.55,50.68214215617891,29.233333333333334,49.383215991576336,0.8999999999999999,1.2727922061357853
30.6,121.2,5.4,93.0,64.8,23.4,0.0,5.4,0.0,144.0,0.0,8.4,19.8,70.8,5.4,3.6,0.0,0.0,39.48,55.86567335058323,56.4,56.267392572446965,28.200000000000003,47.172992266440616,1.2,1.6970562748477138
25.5,142.5,4.5,93.0,55.5,22.5,0.0,4.5,0.0,135.0,0.0,10.5,18.0,72.0,4.5,4.5,0.0,0.0,39.2,57.469244119808565,57.25,61.85264298871502,27.166666666666668,44.96276854130491,1.5,2.1213203435596424
20.400000000000002,163.8,3.5999999999999996,93.0,46.199999999999996,21.6,0.0,3.5999999999999996,0.0,126.0,0.0,12.600000000000001,16.2,73.2,3.5999999999999996,5.4,0.0,0.0,38.92,59.0728148890339,58.1,67.43789340498307,26.133333333333333,42.75254481616919,1.7999999999999998,2.5455844122715705
15.300000000000004,185.1,2.7,93.0,36.89999999999999,20.7,0.0,2.7,0.0,117.0,0.0,14.700000000000001,14.4,74.4,2.7,6.3,0.0,0.0,38.64,60.676385658259235,58.95,73.02314382125113,25.1,40.54232109103348,2.1,2.969848480983499
10.200000000000003,206.4,1.7999999999999998,93.0,27.599999999999994,19.8,0.0,1.7999999999999998,0.0,108.0,0.0,16.8,12.6,75.6,1.7999999999999998,7.2,0.0,0.0,38.36,62.279956427484564,59.8,78.60839423751918,24.066666666666666,38.332097365897766,2.4,3.3941125496954276
5.100000000000001,227.70000000000002,0.9000000000000004,93.0,18.299999999999997,18.9,0.0,0.9000000000000004,0.0,99.0,0.0,18.900000000000002,10.8,76.8,0.9000000000000004,8.1,0.0,0.0,38.08,63.8835271967099,60.65,84.19364465378723,23.03333333333333,36.121873640762054,2.6999999999999997,3.818376618407356
0.0,249.0,0.0,93.0,9.0,18.0,0.0,0.0,0.0,90.0,0.0,21.0,9.0,78.0,0.0,9.0,0.0,0.0,37.8,65.48709796593523,61.5,89.7788950700553,22.0,33.91164991562634,3.0,4.242640687119285
0.9,231.9,0.0,83.7,8.1,17.1,1.3,0.0,0.0,83.1,0.0,23.1,9.0,72.3,0.0,9.9,0.0,0.0,35.36666666666667,61.00748351648151,56.95,83.60279070827414,20.977777777777778,31.873487985387154,3.3,4.666904755831213
1.8,214.8,0.0,74.4,7.2,16.2,2.6,0.0,0.0,76.2,0.0,25.2,9.0,66.6,0.0,10.8,0.0,0.0,32.93333333333333,56.52786906702778,52.4,77.426686346493,19.955555555555556,29.835326055147966,3.6,5.091168824543142
2.7,197.7,0.0,65.1,6.3,15.3,3.9000000000000004,0.0,0.0,69.3,0.0,27.3,9.0,60.9,0.0,11.7,0.0,0.0,30.5,52.04825461757405,47.85,71.25058198471186,18.933333333333334,27.79716412490878,3.9,5.5154328932550705
3.6,180.6,0.0,55.8,5.4,14.4,5.2,0.0,0.0,62.4,0.0,29.4,9.0,55.2,0.0,12.6,0.0,0.0,28.066666666666666,47.568640168120325,43.3,65.0744776229307,17.91111111111111,25.75900219466959,4.2,5.939696961966998
4.5,163.5,0.0,46.5,4.5,13.5,6.5,0.0,0.0,55.5,0.0,31.5,9.0,49.5,0.0,13.5,0.0,0.0,25.633333333333333,43.0890257186666,38.75,58.89837326114955,16.88888888888889,23.720840264430404,4.5,6.363961030678928
5.4,146.39999999999998,0.0,37.199999999999996,3.5999999999999996,12.6,7.800000000000001,0.0,0.0,48.599999999999994,0.0,33.6,9.0,43.8,0.0,14.4,0.0,0.0,23.200000000000003,38.60941126921287,34.2,52.7222688993684,15.866666666666667,21.682678334191216,4.8,6.788225099390855
6.3,129.29999999999998,0.0,27.89999999999999,2.7,11.7,9.1,0.0,0.0,41.699999999999996,0.0,35.7,9.0,38.1,0.0,15.3,0.0,0.0,20.76666666666667,34.12979681975914,29.650000000000002,46.54616453758725,14.844444444444445,19.64451640395203,5.1,7.212489168102784
7.2,112.19999999999999,0.0,18.599999999999994,1.7999999999999998,10.8,10.4,0.0,0.0,34.8,0.0,37.8,9.0,32.4,0.0,16.2,0.0,0.0,18.333333333333336,29.650182370305416,25.1,40.3700601758061,13.822222222222223,17.60635447371284,5.4,7.636753236814712
8.1,95.1,0.0,9.299999999999997,0.9000000000000004,9.9,11.700000000000001,0.0,0.0,27.9,0.0,39.900000000000006,9.0,26.699999999999996,0.0,17.1,0.0,0.0,15.900000000000002,25.17056792085169,20.550000000000004,34.19395581402495,12.8,15.568192543473653,5.699999999999999,8.06101730552664
9.0,78.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,21.0,0.0,42.0,9.0,21.0,0.0,18.0,0.0,0.0,13.466666666666667,20.690953471397965,16.0,28.0178514522438,11.777777777777779,13.530030613234464,6.0,8.48528137423857
9.9,75.6,0.0,0.9,0.9,9.0,17.1,0.0,1.5,21.0,3.3,40.3,9.0,21.0,0.0,17.1,0.0,0.0,13.966666666666667,20.292333771757672,16.05,26.971771293627363,12.57777777777778,13.774788330680117,5.7,8.061017305526642
10.8,73.2,0.0,1.8,1.8,9.0,21.2,0.0,3.0,21.0,6.6,38.6,9.0,21.0,0.0,16.2,0.0,0.0,14.466666666666667,19.89371407211738,16.1,25.92569113501093,13.377777777777778,14.01954604812577,5.4,7.636753236814712
11.7,70.8,0.0,2.7,2.7,9.0,25.299999999999997,0.0,4.5,21.0,9.899999999999999,36.9,9.0,21.0,0.0,15.3,0.0,0.0,14.966666666666667,19.495094372477087,16.15,24.879610976394492,14.177777777777779,14.264303765571423,5.1,7.212489168102785
12.6,68.4,0.0,3.6,3.6,9.0,29.4,0.0,6.0,21.0,13.2,35.2,9.0,21.0,0.0,14.4,0.0,0.0,15.466666666666667,19.096474672836795,16.2,23.833530817778055,14.977777777777778,14.509061483017076,4.8,6.788225099390855
13.5,66.0,0.0,4.5,4.5,9.0,33.5,0.0,7.5,21.0,16.5,33.5,9.0,21.0,0.0,13.5,0.0,0.0,15.966666666666665,18.697854973196506,16.25,22.78745065916162,15.777777777777779,14.753819200462729,4.5,6.363961030678928
14.4,63.6,0.0,5.4,5.4,9.0,37.599999999999994,0.0,9.0,21.0,19.799999999999997,31.8,9.0,21.0,0.0,12.6,0.0,0.0,16.466666666666665,18.299235273556214,16.3,21.741370500545184,16.57777777777778,14.998576917908384,4.2,5.939696961966999
15.3,61.2,0.0,6.3,6.3,9.0,41.699999999999996,0.0,10.5,21.0,23.099999999999998,30.1,9.0,21.0,0.0,11.7,0.0,0.0,16.966666666666665,17.90061557391592,16.35,20.695290341928747,17.37777777777778,15.243334635354037,3.9,5.5154328932550705
16.2,58.8,0.0,7.2,7.2,9.0,45.8,0.0,12.0,21.0,26.4,28.4,9.0,21.0,0.0,10.8,0.0,0.0,17.466666666666665,17.50199587427563,16.4,19.649210183312313,18.177777777777777,15.48809235279969,3.6,5.091168824543142
17.1,56.400000000000006,0.0,8.1,8.1,9.0,49.9,0.0,13.5,21.0,29.7,26.700000000000003,9.0,21.0,0.0,9.9,0.0,0.0,17.966666666666665,17.103376174635336,16.45,18.603130024695876,18.977777777777778,15.732850070245343,3.3000000000000003,4.666904755831213
18.0,54.0,0.0,9.0,9.0,9.0,54.0,0.0,15.0,21.0,33.0,25.0,9.0,21.0,0.0,9.0,0.0,0.0,18.466666666666665,16.704756474995044,16.5,17.55704986607944,19.77777777777778,15.977607787690996,3.0,4.242640687119285
355.8,48.6,0.0,129.9,9.9,9.0,54.9,6.9,19.8,19.8,29.7,23.4,8.5,18.9,0.9,8.1,0.0,2.1,49.06666666666666,102.40522845248634,92.2,141.14707675734599,20.31111111111111,17.22450845897744,3.4,4.808326112068523
693.6,43.2,0.0,250.8,10.8,9.0,55.8,13.8,24.6,18.6,26.4,21.8,8.0,16.8,1.8,7.2,0.0,4.2,79.66666666666667,188.10570042997765,167.9,264.7371036486125,20.844444444444445,18.47140913026388,3.8,5.374011537017761
1031.4,37.8,0.0,371.70000000000005,11.7,9.0,56.7,20.700000000000003,29.4,17.4,23.1,20.2,7.5,14.7,2.7,6.3,0.0,6.300000000000001,110.26666666666668,273.806172407469,243.60000000000002,388.327130539879,21.37777777777778,19.718309801550323,4.2,5.939696961966999
1369.2,32.4,0.0,492.6,12.6,9.0,57.6,27.6,34.2,16.2,19.8,18.6,7.0,12.6,3.6,5.4,0.0,8.4,140.86666666666667,359.5066443849603,319.3,511.9171574311456,21.91111111111111,20.965210472836766,4.6,6.505382386916237
1707.0,27.0,0.0,613.5,13.5,9.0,58.5,34.5,39.0,15.0,16.5,17.0,6.5,10.5,4.5,4.5,0.0,10.5,171.46666666666667,445.2071163624516,395.0,635.5071843224121,22.444444444444443,22.212111144123206,5.0,7.071067811865475
2044.8000000000002,21.599999999999994,0.0,734.4000000000001,14.4,9.0,59.4,41.400000000000006,43.8,13.8,13.200000000000003,15.399999999999999,6.0,8.399999999999999,5.4,3.5999999999999996,0.0,12.600000000000001,202.0666666666667,530.9075883399429,470.70000000000005,759.0972112136786,22.977777777777778,23.45901181540965,5.4,7.636753236814712
2382.6,16.199999999999996,0.0,855.3000000000001,15.3,9.0,60.3,48.300000000000004,48.6,12.6,9.900000000000002,13.799999999999999,5.5,6.299999999999999,6.3,2.7,0.0,14.700000000000001,232.66666666666669,616.6080603174341,546.4,882.6872381049451,23.511111111111113,24.705912486696093,5.800000000000001,8.202438661763951
